,position,title,place_id,data_id,data_cid,reviews_link,photos_link,gps_coordinates,place_id_search,rating,reviews,unclaimed_listing,type,address,open_state,hours,operating_hours,phone,website,service_options,thumbnail,price,description,user_review,Unnamed: 0.1,Unnamed: 0
18,20,Mr P,ChIJAQAAPHTzT0YRl6u9t3zry7A,0x464ff3743c000001:0xb0cbeb7cb7bdab97,12739534891838712727,https://serpapi.com/search.json?data_id=0x464ff3743c000001%3A0xb0cbeb7cb7bdab97&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3743c000001%3A0xb0cbeb7cb7bdab97&engine=google_maps_photos&hl=sv,"{'latitude': 57.696846, 'longitude': 11.980527799999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3743c000001%3A0xb0cbeb7cb7bdab97%218m2%213d57.696846%214d11.980527799999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.3,701.0,,Modern europeisk restaurang,"Götaplatsen, 412 56 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'fredag': '17–00', 'lördag': '17–00', 'söndag': 'Stängt', 'måndag': '17–23', 'tisdag': '17–23', 'onsdag': '17–23', 'torsdag': '17–00'}",+46 31 16 09 80,http://www.mr-p.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMFMjyiAXsGGFfRUTCpy_4DB8JteWCsT8erLLGr=w163-h92-k-no,$$,,,,
19,21,Familjen,ChIJ_cKfbnHzT0YRQsIyJ3paSeE,0x464ff3716e9fc2fd:0xe1495a7a2732c242,16233605812523811394,https://serpapi.com/search.json?data_id=0x464ff3716e9fc2fd%3A0xe1495a7a2732c242&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3716e9fc2fd%3A0xe1495a7a2732c242&engine=google_maps_photos&hl=sv,"{'latitude': 57.697465699999995, 'longitude': 11.9761759}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3716e9fc2fd%3A0xe1495a7a2732c242%218m2%213d57.697465699999995%214d11.9761759&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.3,1097.0,,Svensk restaurang,"Arkivgatan 7, 411 34 Göteborg, Sverige",Öppet ⋅ Stänger 01,Öppet ⋅ Stänger 01,"{'fredag': '17–01', 'lördag': '17–01', 'söndag': 'Stängt', 'måndag': '17–23', 'tisdag': '17–23', 'onsdag': '17–00', 'torsdag': '17–00'}",+46 31 20 79 79,http://www.restaurangfamiljen.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipPVcHlpyv-5CJkBPKVNmSeUJOnCdjuPn98krEO6=w163-h92-k-no,$$,,,,
0,1,Botánico,ChIJf2S9zyDzT0YR8qblk1xWCdQ,0x464ff320cfbd647f:0xd409565c93e5a6f2,15278838166449399538,https://serpapi.com/search.json?data_id=0x464ff320cfbd647f%3A0xd409565c93e5a6f2&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff320cfbd647f%3A0xd409565c93e5a6f2&engine=google_maps_photos&hl=sv,"{'latitude': 57.6962057, 'longitude': 11.9707785}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff320cfbd647f%3A0xd409565c93e5a6f2%218m2%213d57.6962057%214d11.9707785&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.2,208.0,,Restaurang,"Aschebergsgatan 23, 411 27 Göteborg, Sverige",Öppet ⋅ Stänger 01,Öppet ⋅ Stänger 01,"{'fredag': '16–01', 'lördag': '16–01', 'söndag': '17–00', 'måndag': 'Stängt', 'tisdag': '17–00', 'onsdag': '17–00', 'torsdag': '17–00'}",+46 31 15 14 48,http://www.botanico.se/,"{'servering': True, 'avhämtning': False, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipOFai0Ubr3-T04bcm_iV8Gpu0RRcswn7PyNVPWx=w122-h92-k-no,,,,,
1,2,Bistro Södra 32,ChIJZWECXXbzT0YRmP2MOjNkp_I,0x464ff3765d026165:0xf2a764333a8cfd98,17485054249477668248,https://serpapi.com/search.json?data_id=0x464ff3765d026165%3A0xf2a764333a8cfd98&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3765d026165%3A0xf2a764333a8cfd98&engine=google_maps_photos&hl=sv,"{'latitude': 57.6974368, 'longitude': 11.984767399999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3765d026165%3A0xf2a764333a8cfd98%218m2%213d57.6974368%214d11.984767399999999&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.0,683.0,,Bistro,"Södra Vägen 32, 412 54 Göteborg, Sverige",Öppet ⋅ Stänger 02,Öppet ⋅ Stänger 02,"{'fredag': '16–02', 'lördag': '12–02', 'söndag': '13–00', 'måndag': '16–00', 'tisdag': '16–00', 'onsdag': '16–00', 'torsdag': '16–00'}",+46 31 16 11 83,https://bistrosodra32.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMPAHcGBrxLIh74X1IjwVTE6DgEfzEotoFct1iH=w163-h92-k-no,$$,,,,
2,3,Johanneberg Sushi,ChIJ2Z4wbFnzT0YRPer3l2XAeJU,0x464ff3596c309ed9:0x9578c06597f7ea3d,10770570051430378045,https://serpapi.com/search.json?data_id=0x464ff3596c309ed9%3A0x9578c06597f7ea3d&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3596c309ed9%3A0x9578c06597f7ea3d&engine=google_maps_photos&hl=sv,"{'latitude': 57.6885839, 'longitude': 11.984189299999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3596c309ed9%3A0x9578c06597f7ea3d%218m2%213d57.6885839%214d11.984189299999999&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.2,152.0,,Sushirestaurang,"Örnehufvudsgatan 1, 412 59 Göteborg, Sverige",Stänger snart ⋅ 20 ⋅ Öppnar kl. 12 på lör,Stänger snart ⋅ 20 ⋅ Öppnar kl. 12 på lör,"{'fredag': '12–20', 'lördag': '12–20', 'söndag': '12–20', 'måndag': '12–20', 'tisdag': '12–20', 'onsdag': '12–20', 'torsdag': '12–20'}",+46 31 16 00 88,http://johannebergsushi.se/,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipOUEDUGYbEaKYdeQ2UdGFnK2Y5T2A9qSLyeyJn8=w122-h92-k-no,$$,,,,
3,4,Grano gbg,ChIJf1Y1ih_zT0YRZzFRPSLqB-g,0x464ff31f8a35567f:0xe807ea223d513167,16719589574414774631,https://serpapi.com/search.json?data_id=0x464ff31f8a35567f%3A0xe807ea223d513167&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff31f8a35567f%3A0xe807ea223d513167&engine=google_maps_photos&hl=sv,"{'latitude': 57.6986546, 'longitude': 11.9684592}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff31f8a35567f%3A0xe807ea223d513167%218m2%213d57.6986546%214d11.9684592&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.3,275.0,,Restaurang,"Vasagatan 32, 411 24 Göteborg, Sverige",Öppet ⋅ Stänger 01,Öppet ⋅ Stänger 01,"{'fredag': '16–01', 'lördag': '13–01', 'söndag': '15–00', 'måndag': '17–00', 'tisdag': '17–00', 'onsdag': '17–00', 'torsdag': '17–00'}",+46 31 69 50 69,http://www.granogbg.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipP_JtgyldLdRWhqiT7l1ErwnnIYlmrwrQ917v3A=w122-h92-k-no,$$,,,,
4,5,Magazzino,ChIJh7FFOmbzT0YR4hIrHDBJhSA,0x464ff3663a45b187:0x208549301c2b12e2,2343359652096053986,https://serpapi.com/search.json?data_id=0x464ff3663a45b187%3A0x208549301c2b12e2&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3663a45b187%3A0x208549301c2b12e2&engine=google_maps_photos&hl=sv,"{'latitude': 57.7046089, 'longitude': 11.9617834}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3663a45b187%3A0x208549301c2b12e2%218m2%213d57.7046089%214d11.9617834&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.4,1165.0,,Italiensk restaurang,"Magasinsgatan 3, 411 18 Göteborg, Sverige",Öppet ⋅ Stänger 23:30,Öppet ⋅ Stänger 23:30,"{'fredag': '16–23:30', 'lördag': '16–23:30', 'söndag': 'Stängt', 'måndag': '17–23', 'tisdag': '17–23', 'onsdag': '17–23', 'torsdag': '17–23'}",+46 31 13 33 10,http://magazzino.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMxqcTB3csRLW60EUKyfDz7YIIEw9bIxLLO4gyh=w90-h92-k-no,$$,Trivsam italiensk restaurang. Mat och drinkar inspirerade av Italien serveras i en enkel restaurang med uteservering.,,,
5,6,La Gondola Trattoria,ChIJX2ZbGnDzT0YRYqGTEg0szPA,0x464ff3701a5b665f:0xf0cc2c0d1293a162,17351291899009540450,https://serpapi.com/search.json?data_id=0x464ff3701a5b665f%3A0xf0cc2c0d1293a162&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3701a5b665f%3A0xf0cc2c0d1293a162&engine=google_maps_photos&hl=sv,"{'latitude': 57.7016808, 'longitude': 11.9737454}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3701a5b665f%3A0xf0cc2c0d1293a162%218m2%213d57.7016808%214d11.9737454&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.0,1277.0,,Italiensk restaurang,"Kungsportsavenyen 4, 411 36 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'fredag': '11–00', 'lördag': '12–00', 'söndag': '12–23', 'måndag': '11–23', 'tisdag': '11–23', 'onsdag': '11–23', 'torsdag': '11–23'}",+46 31 711 68 28,http://gondola.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipNE-dXqnFlGb4Jmzcg__T66AzQBNRUcQL2dGyTr=w122-h92-k-no,$$,,,,
6,7,Project,ChIJyQ4a73bzT0YRTeSmWq6ijeA,0x464ff376ef1a0ec9:0xe08da2ae5aa6e44d,16180767905940956237,https://serpapi.com/search.json?data_id=0x464ff376ef1a0ec9%3A0xe08da2ae5aa6e44d&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff376ef1a0ec9%3A0xe08da2ae5aa6e44d&engine=google_maps_photos&hl=sv,"{'latitude': 57.697952799999996, 'longitude': 11.982555999999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff376ef1a0ec9%3A0xe08da2ae5aa6e44d%218m2%213d57.697952799999996%214d11.982555999999999&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.5,182.0,,Restaurang,"Södra Vägen 45, 412 54 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'fredag': '17–00', 'lördag': '17–00', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '17–00', 'onsdag': '17–00', 'torsdag': '17–00'}",+46 31 18 18 58,http://www.projectgbg.com/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMjPYRb9_KU9L8gQ2YwhUhyoy4D8v_Rc2Int0o=w138-h92-k-no,,,,,
7,8,Yozakura - Sushi restaurang Göteborg,ChIJad4LybjzT0YRLOajNUIiKWE,0x464ff3b8c90bde69:0x6129224235a3e62c,7001164763487266348,https://serpapi.com/search.json?data_id=0x464ff3b8c90bde69%3A0x6129224235a3e62c&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3b8c90bde69%3A0x6129224235a3e62c&engine=google_maps_photos&hl=sv,"{'latitude': 57.700528399999996, 'longitude': 11.9771285}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3b8c90bde69%3A0x6129224235a3e62c%218m2%213d57.700528399999996%214d11.9771285&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.2,31.0,True,Restaurang,"Kristinelundsgatan 18, 411 35 Göteborg, Sverige",Stängt ⋅ Öppnar lör kl. 12,Stängt ⋅ Öppnar lör kl. 12,"{'fredag': '11–19', 'lördag': '12–16', 'söndag': 'Stängt', 'måndag': '11–19', 'tisdag': '11–19', 'onsdag': '11–19', 'torsdag': '11–19'}",+46 31 778 18 23,https://www.ubereats.com/se/gothenburg/food-delivery/yozakura/SG5thWCPQj-d_MbjRzyzXg?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipO6x2T8VLzHxoEUVT2FYZQ5J0mmN2pvg8K4Gx03=w122-h92-k-no,,,,,
8,9,Holy Cow,ChIJ-7xEQp7zT0YRe2Hl_Z6PqnE,0x464ff39e4244bcfb:0x71aa8f9efde5617b,8190516785353941371,https://serpapi.com/search.json?data_id=0x464ff39e4244bcfb%3A0x71aa8f9efde5617b&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff39e4244bcfb%3A0x71aa8f9efde5617b&engine=google_maps_photos&hl=sv,"{'latitude': 57.693698299999994, 'longitude': 11.9894366}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff39e4244bcfb%3A0x71aa8f9efde5617b%218m2%213d57.693698299999994%214d11.9894366&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.4,1342.0,,Hamburgerrestaurang,"Södra Vägen 77, 412 54 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'fredag': '17–23', 'lördag': '13–23', 'söndag': '13–21', 'måndag': '17–22', 'tisdag': '17–22', 'onsdag': '17–22', 'torsdag': '17–22'}",+46 31 20 45 09,http://www.holycowburgers.se/,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipPj2tg8l4v4NT9h-0rsMiwFITSLzV_HCsgpHGU=w80-h106-k-no,$$,,,,
9,10,Olivia Avenyn,ChIJFfJyBODzT0YRvXN0qNkwEeI,0x464ff3e00472f215:0xe21130d9a87473bd,16289855038568035261,https://serpapi.com/search.json?data_id=0x464ff3e00472f215%3A0xe21130d9a87473bd&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3e00472f215%3A0xe21130d9a87473bd&engine=google_maps_photos&hl=sv,"{'latitude': 57.701719499999996, 'longitude': 11.9726277}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3e00472f215%3A0xe21130d9a87473bd%218m2%213d57.701719499999996%214d11.9726277&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.2,1101.0,,Italiensk restaurang,"Kungsportsavenyen 1, 411 36 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'fredag': '11:30–00', 'lördag': '12–00', 'söndag': '13–22', 'måndag': '11:30–22', 'tisdag': '11:30–22', 'onsdag': '11:30–23', 'torsdag': '11:30–23'}",+46 31 54 70 00,https://oliviarestauranger.se/,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipNNvZ63-kcHqk5-0d3tPCeEe2wUmvsB15Q9eEWi=w138-h92-k-no,$$,,,,
10,11,Levantine,ChIJewqcEHLzT0YRuzS7Db4z4sA,0x464ff372109c0a7b:0xc0e233be0dbb34bb,13898728291385947323,https://serpapi.com/search.json?data_id=0x464ff372109c0a7b%3A0xc0e233be0dbb34bb&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff372109c0a7b%3A0xc0e233be0dbb34bb&engine=google_maps_photos&hl=sv,"{'latitude': 57.6963891, 'longitude': 11.971429299999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff372109c0a7b%3A0xc0e233be0dbb34bb%218m2%213d57.6963891%214d11.971429299999999&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.2,815.0,,Bistro,"Aschebergsgatan 22, 411 27 Göteborg, Sverige",Öppet ⋅ Stänger 01,Öppet ⋅ Stänger 01,"{'fredag': '16–01', 'lördag': '12–01', 'söndag': '12–00', 'måndag': '17–00', 'tisdag': '17–00', 'onsdag': '17–00', 'torsdag': '17–00'}",+46 31 20 15 95,http://www.levantine.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipNrkRsgkWS-CxKl86PJSPdrQyeTt-G2rxtSH5Ae=w137-h92-k-no,$$,Bistro med klassisk fransk mat. Traditionella franska rätter som serveras i en gammaldags bistro med terrass.,,,
11,12,Guldhedens Restaurang,ChIJS20Utg7zT0YRC1O6LKKSvdE,0x464ff30eb6146d4b:0xd1bd92a22cba530b,15113397149758018315,https://serpapi.com/search.json?data_id=0x464ff30eb6146d4b%3A0xd1bd92a22cba530b&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff30eb6146d4b%3A0xd1bd92a22cba530b&engine=google_maps_photos&hl=sv,"{'latitude': 57.68403, 'longitude': 11.9723969}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff30eb6146d4b%3A0xd1bd92a22cba530b%218m2%213d57.68403%214d11.9723969&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.3,83.0,True,Restaurang,"Doktor Fries Torg 1, 413 23 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'fredag': '16–23', 'lördag': '14–23', 'söndag': '14–21', 'måndag': 'Stängt', 'tisdag': '16–22', 'onsdag': '16–22', 'torsdag': '16–22'}",+46 31 82 39 68,http://www.guldhedensrestaurang.se/,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipPoebkReglTMvMRyq6GIfFe0QmXYqxEZT4rxJUj=w80-h106-k-no,$$,,,,
12,13,Heaven 23,ChIJo6Knj53zT0YRviQ2VUrXTCk,0x464ff39d8fa7a2a3:0x294cd74a553624be,2975990168042218686,https://serpapi.com/search.json?data_id=0x464ff39d8fa7a2a3%3A0x294cd74a553624be&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff39d8fa7a2a3%3A0x294cd74a553624be&engine=google_maps_photos&hl=sv,"{'latitude': 57.6972847, 'longitude': 11.9888281}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff39d8fa7a2a3%3A0x294cd74a553624be%218m2%213d57.6972847%214d11.9888281&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.4,2517.0,,Exklusiv restaurang,"Mässans gata 23, 412 51 Göteborg, Sverige",Öppet ⋅ Stänger 01,Öppet ⋅ Stänger 01,"{'fredag': '11:30–01', 'lördag': '12–01', 'söndag': '12–00', 'måndag': '11:30–00', 'tisdag': '11:30–00', 'onsdag': '11:30–00', 'torsdag': '11:30–00'}",+46 31 750 88 05,https://www.heaven23.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipN_ncTbFRQun_E6lRWfDQ6jUnCjOq1_x_LDX6x4=w137-h92-k-no,$$$,,,,
13,14,Götaplatsgruppen,ChIJv9VUi3bzT0YRqnyi4lCwMSY,0x464ff3768b54d5bf:0x2631b050e2a27caa,2752174708746255530,https://serpapi.com/search.json?data_id=0x464ff3768b54d5bf%3A0x2631b050e2a27caa&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3768b54d5bf%3A0x2631b050e2a27caa&engine=google_maps_photos&hl=sv,"{'latitude': 57.6973068, 'longitude': 11.9832033}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3768b54d5bf%3A0x2631b050e2a27caa%218m2%213d57.6973068%214d11.9832033&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,,,True,Restaurang,"Olof Wijksgatan 3, 412 55 Göteborg, Sverige",,,,+46 31 16 09 11,https://gotaplatsgruppen.se/popup/,"{'servering': True, 'hemkörning': False}",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fclm3CLONKSBcAFqV3Hm9w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=41.671837&pitch=0&thumbfov=100,,,,,
14,15,BOV,ChIJC4jwl3TzT0YRA-LzR09-0G8,0x464ff37497f0880b:0x6fd07e4f47f3e203,8057078612340498947,https://serpapi.com/search.json?data_id=0x464ff37497f0880b%3A0x6fd07e4f47f3e203&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff37497f0880b%3A0x6fd07e4f47f3e203&engine=google_maps_photos&hl=sv,"{'latitude': 57.6921848, 'longitude': 11.978064199999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff37497f0880b%3A0x6fd07e4f47f3e203%218m2%213d57.6921848%214d11.978064199999999&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.4,481.0,,Napolitansk restaurang,"Gibraltargatan 20, 411 32 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'fredag': '16–23', 'lördag': '12:30–23', 'söndag': '15–21:30', 'måndag': 'Stängt', 'tisdag': '17–22', 'onsdag': '17–22', 'torsdag': '17–22'}",+46 70 825 95 61,http://www.bovgbg.com/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipNbgPG5Ka4dzK6kpdSWcEkCBuoXuEE4d_-cRyhp=w80-h106-k-no,$$$,,,,
15,16,View Skybar & Restaurant,ChIJFWDRBWjzT0YRoh1PLj-P3M8,0x464ff36805d16015:0xcfdc8f3f2e4f1da2,14978003962250075554,https://serpapi.com/search.json?data_id=0x464ff36805d16015%3A0xcfdc8f3f2e4f1da2&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36805d16015%3A0xcfdc8f3f2e4f1da2&engine=google_maps_photos&hl=sv,"{'latitude': 57.7037796, 'longitude': 11.9565266}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36805d16015%3A0xcfdc8f3f2e4f1da2%218m2%213d57.7037796%214d11.9565266&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.2,606.0,,Restaurang,"Stora Badhusgatan 26, 411 21 Göteborg, Sverige",Öppet ⋅ Stänger 01,Öppet ⋅ Stänger 01,"{'fredag': '15–01', 'lördag': '14–01', 'söndag': '15–23', 'måndag': '15–00', 'tisdag': '15–00', 'onsdag': '15–00', 'torsdag': '15–00'}",+46 31 750 10 00,http://www.rivertonview.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMT1F-dte9Tjp1AcBf930X1eL9m-NoT_F5nV_A=w138-h92-k-no,$$,,,,
16,17,Human Restaurang,ChIJZQDECx_zT0YRTskIHQH_Cy8,0x464ff31f0bc40065:0x2f0bff011d08c94e,3390083524773595470,https://serpapi.com/search.json?data_id=0x464ff31f0bc40065%3A0x2f0bff011d08c94e&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff31f0bc40065%3A0x2f0bff011d08c94e&engine=google_maps_photos&hl=sv,"{'latitude': 57.6944039, 'longitude': 11.9559777}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff31f0bc40065%3A0x2f0bff011d08c94e%218m2%213d57.6944039%214d11.9559777&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.8,69.0,,Exklusiv restaurang,"Risåsgatan 8, 413 07 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'fredag': '12–14', 'lördag': '17–00', 'söndag': 'Stängt', 'måndag': '17–00', 'tisdag': '17–00', 'onsdag': '12–14', 'torsdag': '12–14'}",+46 31 53 15 33,https://humanrestaurang.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipPx6T6wO2F2nsQesQYhDOHxPZyV_iCa8iCDhmQy=w163-h92-k-no,,,,,
17,18,Burgersson - Hamburgerrestaurang Göteborg,ChIJbUenCWvzT0YRBfeM7topGRM,0x464ff36b09a7476d:0x131929daee8cf705,1376177181420222213,https://serpapi.com/search.json?data_id=0x464ff36b09a7476d%3A0x131929daee8cf705&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36b09a7476d%3A0x131929daee8cf705&engine=google_maps_photos&hl=sv,"{'latitude': 57.695578999999995, 'longitude': 11.9590558}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36b09a7476d%3A0x131929daee8cf705%218m2%213d57.695578999999995%214d11.9590558&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.0,766.0,,Restaurang,"Skanstorget 4, 411 22 Göteborg, Sverige",Öppet ⋅ Stänger 22,Öppet ⋅ Stänger 22,"{'fredag': '16:30–22', 'lördag': '09–22', 'söndag': '09–20:30', 'måndag': 'Stängt', 'tisdag': '16:30–21', 'onsdag': '11–13:30', 'torsdag': '16:30–21'}",+46 73 277 22 89,https://www.burgersson.com/,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipMt12vaClUsQLpuRbmPwpm-zeM4OA0WF1Di296Z=w80-h120-k-no,$$,,,,
18,19,Göteborg Ichiban sushi,ChIJgc0rHZ_zT0YRnhMgq10ZfH0,0x464ff39f1d2bcd81:0x7d7c195dab20139e,9042130041946772382,https://serpapi.com/search.json?data_id=0x464ff39f1d2bcd81%3A0x7d7c195dab20139e&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff39f1d2bcd81%3A0x7d7c195dab20139e&engine=google_maps_photos&hl=sv,"{'latitude': 57.6920465, 'longitude': 11.9913125}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff39f1d2bcd81%3A0x7d7c195dab20139e%218m2%213d57.6920465%214d11.9913125&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.4,281.0,,Sushirestaurang,"Södra Vägen 91, 412 63 Göteborg, Sverige",Stänger snart ⋅ 20 ⋅ Öppnar kl. 12 på lör,Stänger snart ⋅ 20 ⋅ Öppnar kl. 12 på lör,"{'fredag': '11–20', 'lördag': '12–20', 'söndag': '12–20', 'måndag': '11–20', 'tisdag': '11–20', 'onsdag': '11–20', 'torsdag': '11–20'}",+46 31 83 17 86,https://www.ichiban.biz/,"{'servering': True, 'hämtning_utanför': True, 'kontaktfri_leverans': True}",https://lh5.googleusercontent.com/p/AF1QipOB9w8x_EJXmfI0Iu-Lo1hP1D8dIj355qBoQIOI=w122-h92-k-no,$$,,,,
